bearbeitet;antwort;nachfolgend_bearbeitet;zuletzt_bearbeitet;alles_anderen_bearbeitet;kommentar;
0;NA;0;11;0;;
1;5;13;11;0;;
0;NA;13;11;1;;
1;5;13;11;1;korrekte Loesung durchgestrichen;
1;5;13;11;1;;
1;5;13;11;1;;
1;3;13;11;1;;
1;3;13;11;1;;
1;4;13;11;1;;
1;4;13;11;1;;
1;5;13;11;1;;
1;4;13;11;1;;
0;NA;0;11;0;davor alles bearbeitet;
0;NA;0;10;0;davor alles bearbeitet;
1;4;13;11;1;;
1;5;13;11;0;alles ausser 15;
1;5;13;11;1;;
1;3;13;11;1;;
1;5;13;11;1;2 durchgestrichen;
1;4;13;1;1;;
0;NA;0;8;0;davor alles bearbeitet;
0;NA;13;11;1;;
1;5;13;11;1;;
0;NA;0;11;0;davor alles bearbeitet;
1;4;13;11;1;;
0;NA;0;11;0;;
0;NA;0;10;0;;
1;5;13;11;1;;
1;5;13;11;1;;
1;5;13;11;1;;
0;NA;0;10;0;davor alles bearbeitet;
1;5;13;11;1;;
1;5;13;11;0;;
1;4;13;11;1;;
0;NA;0;11;0;davor alles bearbeitet;
0;NA;13;11;1;;
1;5;13;11;1;;
1;4;13;11;1;;
1;4;13;11;1;;
0;NA;0;8;0;;
1;5;13;11;0;;
0;NA;0;8;0;davor alles bearbeitet;
0;NA;0;6;0;davor alles bearbeitet;
1;5;13;11;1;;
1;5;13;11;1;;
0;NA;0;11;0;;
1;4;13;11;1;;
1;5;13;11;1;;
0;NA;15;11;0;;
1;5;13;11;1;;
1;5;13;11;0;;
1;5;13;11;0;;
1;1;15;11;0;ab Item 11 Zeit vorbei;!!!!
1;4;13;11;1;;
1;5;13;11;1;;
1;5;13;11;1;;
0;NA;0;11;0;davor alles bearbeitet;
1;5;13;11;1;;
1;5;13;11;1;;
1;5;13;11;1;;
1;5;13;11;1;;
1;5;0;11;0;davor alles bearbeitet;
1;4;13;11;1;;
1;5;13;11;1;;
1;5;13;11;1;;
1;5;13;11;1;;
1;5;13;11;1;;
1;5;13;11;1;;
1;4;13;11;1;;
1;4;13;11;0;davor alles bearbeitet;
1;5;13;11;1;;
1;5;13;11;1;;
1;4;13;11;1;;
1;4;13;11;0;davor alles bearbeitet;
1;5;13;10;0;davor alles bearbeitet;
1;3;13;11;0;;
1;5;13;11;0;;
